Shuffle,Fold,n_estimators,lr,depth,MSE,MSE_B,RMSE,RMSE_B,R-squared,R-squared_B,MAE,MAE_B,MAPE,MAPE_B
1,4,200,0.001,20,11035804.74,2468380.509,3322.018173,1571.108051,0.303364541,0.844183417,2702.761804,1155.781088,45.35106584,11.72050115
1,5,200,0.001,20,10523309.03,2484561.957,3243.965017,1576.249332,0.305782185,0.8360946,2610.308556,1154.811709,3.68062E+12,1.43098E+12
2,1,200,0.001,20,10642328.12,2540958.003,3262.258132,1594.038269,0.302619311,0.833493666,2601.21124,1165.424087,1.06413E+13,4.30293E+12
2,2,200,0.001,20,11083744.47,2572295.482,3329.225806,1603.837735,0.306357842,0.839020776,2678.767711,1169.131632,3.08396E+12,1.40395E+12
2,3,200,0.001,20,10744396.58,2439840.564,3277.864637,1561.9989,0.305912027,0.84238631,2642.449721,1151.473161,7.34712E+12,2.77488E+12
2,4,200,0.001,20,10298748.93,2317091.729,3209.166391,1522.199635,0.306814888,0.844041883,2599.409343,1109.507874,41.90998754,11.30816362
2,5,200,0.001,20,10607249.63,2518901.902,3256.877282,1587.104881,0.306546714,0.835325757,2621.093954,1156.554402,6.81699E+12,2.72166E+12
3,1,200,0.001,20,10704489.14,2422130.224,3271.77156,1556.319448,0.305765183,0.842913836,2625.637016,1132.545621,45.80074513,12.16165702
3,2,200,0.001,20,10541931.79,2478811.495,3246.834117,1574.424179,0.306183238,0.836857134,2601.235909,1140.073835,3.67917E+12,1.43047E+12
3,3,200,0.001,20,11077556.9,2348037.962,3328.296396,1532.330892,0.308455499,0.853417793,2705.08208,1128.383862,48.3369839,11.94293953
3,4,200,0.001,20,10099160.47,2492300.241,3177.917631,1578.702075,0.301922919,0.827726504,2544.958479,1155.420371,7.29286E+12,2.97222E+12
3,5,200,0.001,20,10889656.79,2647916.255,3299.947997,1627.241916,0.308248383,0.831794483,2659.253767,1195.6978,1.6292E+13,6.80325E+12
4,1,200,0.001,20,10756264.54,2519416.125,3279.674457,1587.266873,0.307320676,0.837755249,2649.103222,1164.622335,3.67317E+12,1.34441E+12
4,2,200,0.001,20,10659169.86,2387921.616,3264.838412,1545.29014,0.302689299,0.843784899,2623.876554,1121.290901,3.10426E+12,1.62675E+12
4,3,200,0.001,20,10705201.48,2485925.487,3271.88042,1576.681797,0.305869543,0.838811385,2629.477599,1156.559078,6.17948E+12,2.67618E+12
4,4,200,0.001,20,10608249.01,2467930.66,3257.030705,1570.964882,0.304919373,0.838294634,2624.849886,1144.122696,1.05858E+13,4.12612E+12
4,5,200,0.001,20,10718819.64,2527950.814,3273.960849,1589.953085,0.302358418,0.835466622,2633.173183,1165.511684,3.66703E+12,1.43098E+12
5,1,200,0.001,20,10766961.76,2439216.203,3281.304887,1561.799028,0.304857425,0.842517967,2653.975298,1129.083643,1.00121E+13,4.15116E+12
5,2,200,0.001,20,10385209.27,2609792.14,3222.609078,1615.48511,0.306482109,0.825719685,2584.215964,1165.243188,6.29663E+12,3.03071E+12
5,3,200,0.001,20,10546059.92,2352805.637,3247.469771,1533.885796,0.307435792,0.84549026,2611.082936,1132.086554,3.09735E+12,1.34594E+12
5,4,200,0.001,20,10677873.92,2449751.168,3267.701627,1565.168096,0.310732296,0.841866052,2635.759824,1164.183525,43.73041872,11.874076
5,5,200,0.001,20,10921655.52,2537576.503,3304.792811,1592.977245,0.303473497,0.838166541,2653.162431,1161.515514,7.20364E+12,2.6756E+12
6,1,200,0.001,20,10685829.77,2493001.94,3268.918746,1578.924298,0.303301496,0.837460379,2636.547913,1154.036783,7.46256E+12,2.95699E+12
6,2,200,0.001,20,10875057.5,2560272.379,3297.735208,1600.085116,0.306726856,0.836785407,2641.80826,1176.852351,45.69890837,12.15302435
6,3,200,0.001,20,10434943.97,2429237.758,3230.316388,1558.601218,0.301247079,0.837331472,2582.880299,1133.64966,3.67516E+12,1.25413E+12
6,4,200,0.001,20,10635648.98,2495905.431,3261.234273,1579.843483,0.306556481,0.837267152,2639.408439,1163.586874,1.04201E+13,4.24296E+12
6,5,200,0.001,20,10815656.55,2410695.354,3288.71655,1552.641412,0.305975637,0.845309316,2654.666612,1123.973153,6.33768E+12,2.75088E+12
7,1,200,0.001,20,10463277.88,2366937.303,3234.69904,1538.485393,0.304417866,0.842649759,2602.071805,1140.014235,1.05495E+13,4.02058E+12
7,2,200,0.001,20,10357153.51,2536289,3218.253177,1592.573075,0.307402931,0.830394874,2581.225787,1173.17302,3.6626E+12,1.43047E+12
7,3,200,0.001,20,11093350.87,2399660.384,3330.668232,1549.083724,0.30927798,0.85058633,2709.812805,1121.913237,6.17638E+12,2.87052E+12
7,4,200,0.001,20,10733992.43,2535459.757,3276.27722,1592.312707,0.302278807,0.835192356,2615.847222,1152.282443,48.07976856,12.5793664
7,5,200,0.001,20,10726269.12,2550830.501,3275.098338,1597.131961,0.304304169,0.834555508,2634.236392,1164.72639,7.34897E+12,2.88191E+12
8,1,200,0.001,20,10499269.74,2449884.547,3240.257665,1565.210704,0.305117565,0.837857129,2597.208819,1145.060656,43.64944163,11.8085078
8,2,200,0.001,20,10718144.69,2484125.782,3273.857769,1576.110968,0.300926842,0.837977028,2627.913314,1158.904454,1.41628E+13,5.8682E+12
8,3,200,0.001,20,11000174,2434418.882,3316.651021,1560.26244,0.308227838,0.846905766,2680.717873,1123.207895,3.11313E+12,1.34594E+12
8,4,200,0.001,20,10090713.36,2448324.283,3176.58832,1564.712205,0.305336548,0.831452808,2542.994457,1153.792397,3.6816E+12,1.33071E+12
8,5,200,0.001,20,11113152.63,2572400.068,3333.639548,1603.87034,0.305721105,0.839292851,2703.908549,1171.146751,6.99336E+12,2.65903E+12
9,1,200,0.001,20,10325620.1,2355600.008,3213.350292,1534.796406,0.306840637,0.841868461,2581.961167,1138.874065,6.22408E+12,2.72069E+12
9,2,200,0.001,20,10517755.27,2533869.974,3243.108889,1591.813423,0.306588638,0.832947793,2593.351294,1155.564178,44.40962175,11.63361138
9,3,200,0.001,20,10973856.4,2681285.658,3312.68115,1637.463178,0.305652073,0.83034723,2676.523097,1174.503937,3.12084E+12,1.62675E+12
9,4,200,0.001,20,10540011.97,2508774.496,3246.53846,1583.911139,0.308963347,0.835516778,2617.830634,1168.815445,3.13457E+12,1.40446E+12
